game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
4,18,ai1,Ms Demi Graphic,demographic,9,3361512.0,145373.0,1968280.0,0.0
4,18,ai2,Ms Di Vidend,yield,6,745873.0,1518566.0,880734.0,0.0
4,19,player,You,player,5,923485.0,952455.0,851730.0,0.0
4,19,ai1,Ms Demi Graphic,demographic,9,3206515.0,195309.0,1968280.0,0.0
4,19,ai2,Ms Di Vidend,yield,6,706390.0,1591558.0,880734.0,0.0
4,20,player,You,player,5,884238.0,1062492.0,851730.0,0.0
4,20,ai1,Ms Demi Graphic,demographic,9,3259962.0,194318.0,1968280.0,0.0
4,20,ai2,Ms Di Vidend,yield,6,720005.0,1659730.0,880734.0,0.0
5,1,player,You,player,3,323400.0,562451.0,846015.0,0.0
5,1,ai1,Ms Di Vidend,yield,2,206900.0,1310969.0,1408482.0,0.0
5,1,ai2,Mr Hugh Price,capital,2,646350.0,968866.0,1300510.0,0.0
5,2,player,You,player,3,356777.0,598425.0,846015.0,0.0
5,2,ai1,Ms Di Vidend,yield,2,224603.0,1373975.0,1408482.0,0.0
5,2,ai2,Mr Hugh Price,capital,2,701653.0,1026153.0,1300510.0,0.0
5,3,player,You,player,3,373364.0,628450.0,846015.0,0.0
5,3,ai1,Ms Di Vidend,yield,2,235667.0,1451682.0,1408482.0,0.0
5,3,ai2,Mr Hugh Price,capital,2,736217.0,1084727.0,1300510.0,0.0
5,4,player,You,player,3,368877.0,669063.0,846015.0,0.0
5,4,ai1,Ms Di Vidend,yield,2,235667.0,1541737.0,1408482.0,0.0
5,4,ai2,Mr Hugh Price,capital,2,736217.0,1160271.0,1300510.0,0.0
5,5,player,You,player,3,363682.0,723469.0,846015.0,0.0
5,5,ai1,Ms Di Vidend,yield,2,232348.0,1637096.0,1408482.0,0.0
5,5,ai2,Mr Hugh Price,capital,2,725848.0,1239959.0,1300510.0,0.0
5,6,player,You,player,3,346364.0,784074.0,846015.0,0.0
5,6,ai1,Ms Di Vidend,yield,2,221283.0,1731909.0,1408482.0,0.0
5,6,ai2,Mr Hugh Price,capital,2,691283.0,1312324.0,1300510.0,0.0
5,7,player,You,player,3,329045.0,842509.0,846015.0,0.0
5,7,ai1,Ms Di Vidend,yield,2,210219.0,1818922.0,1408482.0,0.0
5,7,ai2,Mr Hugh Price,capital,1,349366.0,1689868.0,1300510.0,0.0
5,8,player,You,player,3,318655.0,897751.0,846015.0,0.0
5,8,ai1,Ms Di Vidend,yield,2,203581.0,1899808.0,1408482.0,0.0
5,8,ai2,Mr Hugh Price,capital,0,0,2097857.0,1300510.0,0.0
5,9,player,You,player,3,306532.0,955470.0,846015.0,0.0
5,9,ai1,Ms Di Vidend,yield,2,195836.0,1980488.0,1408482.0,0.0
5,9,ai2,Mr Hugh Price,capital,0,0,2176526.0,1300510.0,0.0
5,10,player,You,player,3,296141.0,1004977.0,846015.0,0.0
5,10,ai1,Ms Di Vidend,yield,3,239798.0,1979739.0,1408482.0,0.0
5,10,ai2,Mr Hugh Price,capital,0,0,2233660.0,1300510.0,0.0
5,11,player,You,player,4,302400.0,1036532.0,846015.0,0.0
5,11,ai1,Ms Di Vidend,yield,3,208906.0,2024587.0,1408482.0,0.0
5,11,ai2,Mr Hugh Price,capital,0,0,2283917.0,1300510.0,0.0
